"id","name","value","lat","lng","created_at","updated_at"
"1","sensor1","0.00","0.85","112.93","2023-10-17 08:06:00",NULL
"2","sensor1","0.00","0.85","112.93","2023-10-17 08:36:00",NULL
"3","sensor1","0.00","0.85","112.93","2023-10-17 09:06:00",NULL
"4","sensor1","0.00","0.85","112.93","2023-10-17 09:36:00",NULL
"5","sensor1","0.00","0.85","112.93","2023-10-17 10:06:00",NULL
"6","sensor1","0.00","0.85","112.93","2023-10-17 10:36:00",NULL
"7","sensor1","0.00","0.85","112.93","2023-10-17 11:06:00",NULL
"8","sensor1","0.00","0.85","112.93","2023-10-17 11:36:00",NULL
"9","sensor1","0.00","0.85","112.93","2023-10-17 12:06:00",NULL
"10","sensor1","0.00","0.85","112.93","2023-10-17 12:36:00",NULL
"11","sensor1","0.00","0.85","112.93","2023-10-17 13:06:00",NULL
"12","sensor1","0.00","0.85","112.93","2023-10-17 13:36:00",NULL
"13","sensor1","0.00","0.85","112.93","2023-10-17 14:06:00",NULL
"14","sensor1","0.00","0.85","112.93","2023-10-17 14:36:00",NULL
"15","sensor1","0.00","0.85","112.93","2023-10-17 15:06:00",NULL
"16","sensor1","0.00","0.85","112.93","2023-10-17 15:36:00",NULL
"17","sensor1","0.00","0.83","112.93","2023-10-18 08:06:00",NULL
"18","sensor1","0.00","0.83","112.93","2023-10-18 08:36:00",NULL
"19","sensor1","20.00","0.83","112.93","2023-10-18 09:06:00",NULL
"20","sensor1","20.00","0.83","112.93","2023-10-18 09:36:00",NULL
"21","sensor1","20.00","0.83","112.93","2023-10-18 10:06:00",NULL
"22","sensor1","0.00","0.83","112.93","2023-10-18 10:36:00",NULL
"23","sensor1","0.00","0.83","112.93","2023-10-18 11:06:00",NULL
"24","sensor1","0.00","0.83","112.93","2023-10-18 11:36:00",NULL
"25","sensor1","0.00","0.83","112.93","2023-10-18 12:06:00",NULL
"26","sensor1","0.00","0.83","112.93","2023-10-18 12:36:00",NULL
"27","sensor1","0.00","0.83","112.93","2023-10-18 13:06:00",NULL
"28","sensor1","0.00","0.83","112.93","2023-10-18 13:36:00",NULL
"29","sensor1","0.00","0.83","112.93","2023-10-18 14:06:00",NULL
"30","sensor1","0.00","0.83","112.93","2023-10-18 14:36:00",NULL
"31","sensor1","0.00","0.83","112.93","2023-10-18 15:06:00",NULL
"32","sensor1","43.00","0.83","112.93","2023-10-18 15:36:00",NULL
"33","sensor1","44.00","0.85","112.92","2023-10-19 08:06:00",NULL
"34","sensor1","44.00","0.85","112.92","2023-10-19 08:36:00",NULL
"35","sensor1","0.00","0.85","112.92","2023-10-19 09:06:00",NULL
"36","sensor1","0.00","0.85","112.92","2023-10-19 09:36:00",NULL
"37","sensor1","0.00","0.85","112.92","2023-10-19 10:06:00",NULL
"38","sensor1","0.00","0.85","112.92","2023-10-19 10:36:00",NULL
"39","sensor1","0.00","0.85","112.92","2023-10-19 11:06:00",NULL
"40","sensor1","0.00","0.85","112.92","2023-10-19 11:36:00",NULL
"41","sensor1","0.00","0.85","112.92","2023-10-19 12:06:00",NULL
"42","sensor1","0.00","0.85","112.92","2023-10-19 12:36:00",NULL
"43","sensor1","0.00","0.85","112.92","2023-10-19 13:06:00",NULL
"44","sensor1","0.00","0.85","112.92","2023-10-19 13:36:00",NULL
"45","sensor1","0.00","0.85","112.92","2023-10-19 14:06:00",NULL
"46","sensor1","0.00","0.85","112.92","2023-10-19 14:36:00",NULL
"47","sensor1","0.00","0.85","112.92","2023-10-19 15:06:00",NULL
"48","sensor1","0.00","0.85","112.92","2023-10-19 15:36:00",NULL
"49","sensor1","0.00","0.85","112.93","2023-10-20 08:06:00",NULL
"50","sensor1","0.00","0.85","112.93","2023-10-20 08:36:00",NULL
"51","sensor1","0.00","0.85","112.93","2023-10-20 09:06:00",NULL
"52","sensor1","0.00","0.85","112.93","2023-10-20 09:36:00",NULL
"53","sensor1","0.00","0.85","112.93","2023-10-20 10:06:00",NULL
"54","sensor1","112.00","0.85","112.93","2023-10-20 10:36:00",NULL
"55","sensor1","110.00","0.85","112.93","2023-10-20 11:06:00",NULL
"56","sensor1","0.00","0.85","112.93","2023-10-20 11:36:00",NULL
"57","sensor1","0.00","0.85","112.93","2023-10-20 12:06:00",NULL
"58","sensor1","0.00","0.85","112.93","2023-10-20 12:36:00",NULL
"59","sensor1","0.00","0.85","112.93","2023-10-20 13:06:00",NULL
"60","sensor1","0.00","0.85","112.93","2023-10-20 13:36:00",NULL
"61","sensor1","0.00","0.85","112.93","2023-10-20 14:06:00",NULL
"62","sensor1","0.00","0.85","112.93","2023-10-20 14:36:00",NULL
"63","sensor1","120.00","0.85","112.93","2023-10-20 15:06:00",NULL
"64","sensor1","0.00","0.85","112.93","2023-10-20 15:36:00",NULL
"65","sensor1","0.00","0.86","112.92","2023-10-21 08:06:00",NULL
"66","sensor1","0.00","0.86","112.92","2023-10-21 08:36:00",NULL
"67","sensor1","0.00","0.86","112.92","2023-10-21 09:06:00",NULL
"68","sensor1","0.00","0.86","112.92","2023-10-21 09:36:00",NULL
"69","sensor1","0.00","0.86","112.92","2023-10-21 10:06:00",NULL
"70","sensor1","0.00","0.86","112.92","2023-10-21 10:36:00",NULL
"71","sensor1","0.00","0.86","112.92","2023-10-21 11:06:00",NULL
"72","sensor1","130.00","0.86","112.92","2023-10-21 11:36:00",NULL
"73","sensor1","132.00","0.86","112.92","2023-10-21 12:06:00",NULL
"74","sensor1","144.00","0.86","112.92","2023-10-21 12:36:00",NULL
"75","sensor1","0.00","0.86","112.92","2023-10-21 13:06:00",NULL
"76","sensor1","0.00","0.86","112.92","2023-10-21 13:36:00",NULL
"77","sensor1","0.00","0.86","112.92","2023-10-21 14:06:00",NULL
"78","sensor1","0.00","0.86","112.92","2023-10-21 14:36:00",NULL
"79","sensor1","0.00","0.86","112.92","2023-10-21 15:06:00",NULL
"80","sensor1","0.00","0.86","112.92","2023-10-21 15:36:00",NULL
"81","sensor1","0.00","0.84","112.92","2023-10-22 08:06:00",NULL
"82","sensor1","0.00","0.84","112.92","2023-10-22 08:36:00",NULL
"83","sensor1","0.00","0.84","112.92","2023-10-22 09:06:00",NULL
"84","sensor1","0.00","0.84","112.92","2023-10-22 09:36:00",NULL
"85","sensor1","22.00","0.84","112.92","2023-10-22 10:06:00",NULL
"86","sensor1","24.00","0.84","112.92","2023-10-22 10:36:00",NULL
"87","sensor1","26.00","0.84","112.92","2023-10-22 11:06:00",NULL
"88","sensor1","0.00","0.84","112.92","2023-10-22 11:36:00",NULL
"89","sensor1","0.00","0.84","112.92","2023-10-22 12:06:00",NULL
"90","sensor1","0.00","0.84","112.92","2023-10-22 12:36:00",NULL
"91","sensor1","0.00","0.84","112.92","2023-10-22 13:06:00",NULL
"92","sensor1","0.00","0.84","112.92","2023-10-22 13:36:00",NULL
"93","sensor1","0.00","0.84","112.92","2023-10-22 14:06:00",NULL
"94","sensor1","0.00","0.84","112.92","2023-10-22 14:36:00",NULL
"95","sensor1","0.00","0.84","112.92","2023-10-22 15:06:00",NULL
"96","sensor1","0.00","0.84","112.92","2023-10-22 15:36:00",NULL
"97","sensor1","0.00","0.85","112.92","2023-10-23 08:06:00",NULL
"98","sensor1","0.00","0.85","112.92","2023-10-23 08:36:00",NULL
"99","sensor1","0.00","0.85","112.92","2023-10-23 09:06:00",NULL
"100","sensor1","0.00","0.85","112.92","2023-10-23 09:36:00",NULL
"101","sensor1","120.00","0.85","112.92","2023-10-23 10:06:00",NULL
"102","sensor1","120.00","0.85","112.92","2023-10-23 10:36:00",NULL
"103","sensor1","120.00","0.85","112.92","2023-10-23 11:06:00",NULL
"104","sensor1","0.00","0.85","112.92","2023-10-23 11:36:00",NULL
"105","sensor1","0.00","0.85","112.92","2023-10-23 12:06:00",NULL
"106","sensor1","0.00","0.85","112.92","2023-10-23 12:36:00",NULL
"107","sensor1","0.00","0.85","112.92","2023-10-23 13:06:00",NULL
"108","sensor1","0.00","0.85","112.92","2023-10-23 13:36:00",NULL
"109","sensor1","0.00","0.85","112.92","2023-10-23 14:06:00",NULL
"110","sensor1","0.00","0.85","112.92","2023-10-23 14:36:00",NULL
"111","sensor1","0.00","0.85","112.92","2023-10-23 15:06:00",NULL
"112","sensor1","0.00","0.85","112.92","2023-10-23 15:36:00",NULL
"113","sensor1","0.00","0.86","112.93","2023-10-24 08:06:00",NULL
"114","sensor1","0.00","0.86","112.93","2023-10-24 08:36:00",NULL
"115","sensor1","0.00","0.86","112.93","2023-10-24 09:06:00",NULL
"116","sensor1","0.00","0.86","112.93","2023-10-24 09:36:00",NULL
"117","sensor1","0.00","0.86","112.93","2023-10-24 10:06:00",NULL
"118","sensor1","110.00","0.86","112.93","2023-10-24 10:36:00",NULL
"119","sensor1","110.00","0.86","112.93","2023-10-24 11:06:00",NULL
"120","sensor1","90.00","0.86","112.93","2023-10-24 11:36:00",NULL
"121","sensor1","0.00","0.86","112.93","2023-10-24 12:06:00",NULL
"122","sensor1","0.00","0.86","112.93","2023-10-24 12:36:00",NULL
"123","sensor1","0.00","0.86","112.93","2023-10-24 13:06:00",NULL
"124","sensor1","0.00","0.86","112.93","2023-10-24 13:36:00",NULL
"125","sensor1","0.00","0.86","112.93","2023-10-24 14:06:00",NULL
"126","sensor1","0.00","0.86","112.93","2023-10-24 14:36:00",NULL
"127","sensor1","0.00","0.86","112.93","2023-10-24 15:06:00",NULL
"128","sensor1","0.00","0.86","112.93","2023-10-24 15:36:00",NULL
"129","sensor1","0.00","0.84","112.93","2023-10-25 08:06:00",NULL
"130","sensor1","0.00","0.84","112.93","2023-10-25 08:36:00",NULL
"131","sensor1","0.00","0.84","112.93","2023-10-25 09:06:00",NULL
"132","sensor1","0.00","0.84","112.93","2023-10-25 09:36:00",NULL
"133","sensor1","0.00","0.84","112.93","2023-10-25 10:06:00",NULL
"134","sensor1","0.00","0.84","112.93","2023-10-25 10:36:00",NULL
"135","sensor1","0.00","0.84","112.93","2023-10-25 11:06:00",NULL
"136","sensor1","55.00","0.84","112.93","2023-10-25 11:36:00",NULL
"137","sensor1","55.00","0.84","112.93","2023-10-25 12:06:00",NULL
"138","sensor1","55.00","0.84","112.93","2023-10-25 12:36:00",NULL
"139","sensor1","57.00","0.84","112.93","2023-10-25 13:06:00",NULL
"140","sensor1","55.00","0.84","112.93","2023-10-25 13:36:00",NULL
"141","sensor1","56.00","0.84","112.93","2023-10-25 14:06:00",NULL
"142","sensor1","55.00","0.84","112.93","2023-10-25 14:36:00",NULL
"143","sensor1","56.00","0.84","112.93","2023-10-25 15:06:00",NULL
"144","sensor1","55.00","0.84","112.93","2023-10-25 15:36:00",NULL
"145","sensor1","0.00","0.83","112.93","2023-10-26 08:06:00",NULL
"146","sensor1","0.00","0.83","112.93","2023-10-26 08:36:00",NULL
"147","sensor1","0.00","0.83","112.93","2023-10-26 09:06:00",NULL
"148","sensor1","0.00","0.83","112.93","2023-10-26 09:36:00",NULL
"149","sensor1","0.00","0.83","112.93","2023-10-26 10:06:00",NULL
"150","sensor1","0.00","0.83","112.93","2023-10-26 10:36:00",NULL
"151","sensor1","0.00","0.83","112.93","2023-10-26 11:06:00",NULL
"152","sensor1","0.00","0.83","112.93","2023-10-26 11:36:00",NULL
"153","sensor1","0.00","0.83","112.93","2023-10-26 12:06:00",NULL
"154","sensor1","0.00","0.83","112.93","2023-10-26 12:36:00",NULL
"155","sensor1","0.00","0.83","112.93","2023-10-26 13:06:00",NULL
"156","sensor1","0.00","0.83","112.93","2023-10-26 13:36:00",NULL
"157","sensor1","0.00","0.83","112.93","2023-10-26 14:06:00",NULL
"158","sensor1","0.00","0.83","112.93","2023-10-26 14:36:00",NULL
"159","sensor1","0.00","0.83","112.93","2023-10-26 15:06:00",NULL
"160","sensor1","0.00","0.83","112.93","2023-10-26 15:36:00",NULL
"161","sensor1","0.00","0.86","112.92","2023-10-27 08:06:00",NULL
"162","sensor1","0.00","0.86","112.92","2023-10-27 08:36:00",NULL
"163","sensor1","0.00","0.86","112.92","2023-10-27 09:06:00",NULL
"164","sensor1","0.00","0.86","112.92","2023-10-27 09:36:00",NULL
"165","sensor1","0.00","0.86","112.92","2023-10-27 10:06:00",NULL
"166","sensor1","0.00","0.86","112.92","2023-10-27 10:36:00",NULL
"167","sensor1","0.00","0.86","112.92","2023-10-27 11:06:00",NULL
"168","sensor1","0.00","0.86","112.92","2023-10-27 11:36:00",NULL
"169","sensor1","0.00","0.86","112.92","2023-10-27 12:06:00",NULL
"170","sensor1","0.00","0.86","112.92","2023-10-27 12:36:00",NULL
"171","sensor1","0.00","0.86","112.92","2023-10-27 13:06:00",NULL
"172","sensor1","0.00","0.86","112.92","2023-10-27 13:36:00",NULL
"173","sensor1","0.00","0.86","112.92","2023-10-27 14:06:00",NULL
"174","sensor1","0.00","0.86","112.92","2023-10-27 14:36:00",NULL
"175","sensor1","0.00","0.86","112.92","2023-10-27 15:06:00",NULL
"176","sensor1","0.00","0.86","112.92","2023-10-27 15:36:00",NULL
"177","sensor1","0.00","0.87","112.92","2023-10-28 08:06:00",NULL
"178","sensor1","0.00","0.87","112.92","2023-10-28 08:36:00",NULL
"179","sensor1","0.00","0.87","112.92","2023-10-28 09:06:00",NULL
"180","sensor1","0.00","0.87","112.92","2023-10-28 09:36:00",NULL
"181","sensor1","0.00","0.87","112.92","2023-10-28 10:06:00",NULL
"182","sensor1","0.00","0.87","112.92","2023-10-28 10:36:00",NULL
"183","sensor1","0.00","0.87","112.92","2023-10-28 11:06:00",NULL
"184","sensor1","0.00","0.87","112.92","2023-10-28 11:36:00",NULL
"185","sensor1","0.00","0.87","112.92","2023-10-28 12:06:00",NULL
"186","sensor1","0.00","0.87","112.92","2023-10-28 12:36:00",NULL
"187","sensor1","0.00","0.87","112.92","2023-10-28 13:06:00",NULL
"188","sensor1","0.00","0.87","112.92","2023-10-28 13:36:00",NULL
"189","sensor1","0.00","0.87","112.92","2023-10-28 14:06:00",NULL
"190","sensor1","0.00","0.87","112.92","2023-10-28 14:36:00",NULL
"191","sensor1","0.00","0.87","112.92","2023-10-28 15:06:00",NULL
"192","sensor1","0.00","0.87","112.92","2023-10-28 15:36:00",NULL
"193","sensor1","0.00","0.86","112.92","2023-10-29 08:06:00",NULL
"194","sensor1","0.00","0.86","112.92","2023-10-29 08:36:00",NULL
"195","sensor1","0.00","0.86","112.92","2023-10-29 09:06:00",NULL
"196","sensor1","0.00","0.86","112.92","2023-10-29 09:36:00",NULL
"197","sensor1","0.00","0.86","112.92","2023-10-29 10:06:00",NULL
"198","sensor1","0.00","0.86","112.92","2023-10-29 10:36:00",NULL
"199","sensor1","0.00","0.86","112.92","2023-10-29 11:06:00",NULL
"200","sensor1","0.00","0.86","112.92","2023-10-29 11:36:00",NULL
"201","sensor1","0.00","0.86","112.92","2023-10-29 12:06:00",NULL
"202","sensor1","0.00","0.86","112.92","2023-10-29 12:36:00",NULL
"203","sensor1","0.00","0.86","112.92","2023-10-29 13:06:00",NULL
"204","sensor1","0.00","0.86","112.92","2023-10-29 13:36:00",NULL
"205","sensor1","0.00","0.86","112.92","2023-10-29 14:06:00",NULL
"206","sensor1","0.00","0.86","112.92","2023-10-29 14:36:00",NULL
"207","sensor1","0.00","0.86","112.92","2023-10-29 15:06:00",NULL
"208","sensor1","0.00","0.86","112.92","2023-10-29 15:36:00",NULL
"209","sensor1","0.00","0.87","0.86","2023-10-30 08:06:00",NULL
"210","sensor1","0.00","0.87","0.86","2023-10-30 08:36:00",NULL
"211","sensor1","0.00","0.87","0.86","2023-10-30 09:06:00",NULL
"212","sensor1","0.00","0.87","0.86","2023-10-30 09:36:00",NULL
"213","sensor1","0.00","0.87","0.86","2023-10-30 10:06:00",NULL
"214","sensor1","0.00","0.87","0.86","2023-10-30 10:36:00",NULL
"215","sensor1","0.00","0.87","0.86","2023-10-30 11:06:00",NULL
"216","sensor1","0.00","0.87","0.86","2023-10-30 11:36:00",NULL
"217","sensor1","0.00","0.87","0.86","2023-10-30 12:06:00",NULL
"218","sensor1","0.00","0.87","0.86","2023-10-30 12:36:00",NULL
"219","sensor1","0.00","0.87","0.86","2023-10-30 13:06:00",NULL
"220","sensor1","0.00","0.87","0.86","2023-10-30 13:36:00",NULL
"221","sensor1","0.00","0.87","0.86","2023-10-30 14:06:00",NULL
"222","sensor1","22.00","0.87","0.86","2023-10-30 14:36:00",NULL
"223","sensor1","22.00","0.87","0.86","2023-10-30 15:06:00",NULL
"224","sensor1","0.00","0.87","0.86","2023-10-30 15:36:00",NULL
"225","sensor1","50.00","0.86","112.92","2023-10-31 08:06:00",NULL
"226","sensor1","50.00","0.86","112.92","2023-10-31 08:36:00",NULL
"227","sensor1","50.00","0.86","112.92","2023-10-31 09:06:00",NULL
"228","sensor1","50.00","0.86","112.92","2023-10-31 09:36:00",NULL
"229","sensor1","50.00","0.86","112.92","2023-10-31 10:06:00",NULL
"230","sensor1","50.00","0.86","112.92","2023-10-31 10:36:00",NULL
"231","sensor1","50.00","0.86","112.92","2023-10-31 11:06:00",NULL
"232","sensor1","50.00","0.86","112.92","2023-10-31 11:36:00",NULL
"233","sensor1","50.00","0.86","112.92","2023-10-31 12:06:00",NULL
"234","sensor1","50.00","0.86","112.92","2023-10-31 12:36:00",NULL
"235","sensor1","50.00","0.86","112.92","2023-10-31 13:06:00",NULL
"236","sensor1","50.00","0.86","112.92","2023-10-31 13:36:00",NULL
"237","sensor1","50.00","0.86","112.92","2023-10-31 14:06:00",NULL
"238","sensor1","50.00","0.86","112.92","2023-10-31 14:36:00",NULL
"239","sensor1","50.00","0.86","112.92","2023-10-31 15:06:00",NULL
"240","sensor1","50.00","0.86","112.92","2023-10-31 15:36:00",NULL
"241","sensor1","0.00","0.85","112.92","2023-11-01 08:06:00",NULL
"242","sensor1","0.00","0.85","112.92","2023-11-01 08:36:00",NULL
"243","sensor1","0.00","0.85","112.92","2023-11-01 09:06:00",NULL
"244","sensor1","0.00","0.85","112.92","2023-11-01 09:36:00",NULL
"245","sensor1","0.00","0.85","112.92","2023-11-01 10:06:00",NULL
"246","sensor1","0.00","0.85","112.92","2023-11-01 10:36:00",NULL
"247","sensor1","0.00","0.85","112.92","2023-11-01 11:06:00",NULL
"248","sensor1","0.00","0.85","112.92","2023-11-01 11:36:00",NULL
"249","sensor1","0.00","0.85","112.92","2023-11-01 12:06:00",NULL
"250","sensor1","0.00","0.85","112.92","2023-11-01 12:36:00",NULL
"251","sensor1","0.00","0.85","112.92","2023-11-01 13:06:00",NULL
"252","sensor1","0.00","0.85","112.92","2023-11-01 13:36:00",NULL
"253","sensor1","30.00","0.85","112.92","2023-11-01 14:06:00",NULL
"254","sensor1","30.00","0.85","112.92","2023-11-01 14:36:00",NULL
"255","sensor1","30.00","0.85","112.92","2023-11-01 15:06:00",NULL
"256","sensor1","30.00","0.85","112.92","2023-11-01 15:36:00",NULL
"257","sensor1","0.00","0.88","112.92","2023-11-02 08:06:00",NULL
"258","sensor1","0.00","0.88","112.92","2023-11-02 08:36:00",NULL
"259","sensor1","0.00","0.88","112.92","2023-11-02 09:06:00",NULL
"260","sensor1","0.00","0.88","112.92","2023-11-02 09:36:00",NULL
"261","sensor1","0.00","0.88","112.92","2023-11-02 10:06:00",NULL
"262","sensor1","0.00","0.88","112.92","2023-11-02 10:36:00",NULL
"263","sensor1","0.00","0.88","112.92","2023-11-02 11:06:00",NULL
"264","sensor1","0.00","0.88","112.92","2023-11-02 11:36:00",NULL
"265","sensor1","0.00","0.88","112.92","2023-11-02 12:06:00",NULL
"266","sensor1","70.00","0.88","112.92","2023-11-02 12:36:00",NULL
"267","sensor1","70.00","0.88","112.92","2023-11-02 13:06:00",NULL
"268","sensor1","70.00","0.88","112.92","2023-11-02 13:36:00",NULL
"269","sensor1","71.00","0.88","112.92","2023-11-02 14:06:00",NULL
"270","sensor1","73.00","0.88","112.92","2023-11-02 14:36:00",NULL
"271","sensor1","70.00","0.88","112.92","2023-11-02 15:06:00",NULL
"272","sensor1","70.00","0.88","112.92","2023-11-02 15:36:00",NULL
"273","sensor1","0.00","0.87","112.92","2023-11-03 08:06:00",NULL
"274","sensor1","0.00","0.87","112.92","2023-11-03 08:36:00",NULL
"275","sensor1","0.00","0.87","112.92","2023-11-03 09:06:00",NULL
"276","sensor1","0.00","0.87","112.92","2023-11-03 09:36:00",NULL
"277","sensor1","0.00","0.87","112.92","2023-11-03 10:06:00",NULL
"278","sensor1","0.00","0.87","112.92","2023-11-03 10:36:00",NULL
"279","sensor1","0.00","0.87","112.92","2023-11-03 11:06:00",NULL
"280","sensor1","0.00","0.87","112.92","2023-11-03 11:36:00",NULL
"281","sensor1","77.00","0.87","112.92","2023-11-03 12:06:00",NULL
"282","sensor1","77.00","0.87","112.92","2023-11-03 12:36:00",NULL
"283","sensor1","78.00","0.87","112.92","2023-11-03 13:06:00",NULL
"284","sensor1","0.00","0.87","112.92","2023-11-03 13:36:00",NULL
"285","sensor1","0.00","0.87","112.92","2023-11-03 14:06:00",NULL
"286","sensor1","0.00","0.87","112.92","2023-11-03 14:36:00",NULL
"287","sensor1","0.00","0.87","112.92","2023-11-03 15:06:00",NULL
"288","sensor1","0.00","0.87","112.92","2023-11-03 15:36:00",NULL
"289","sensor1","0.00","0.88","112.92","2023-11-04 08:06:00",NULL
